"ARGUMENTS","ENG","FR","KEYDESC","KEYNAME","KIND"
"None","[INTEGER] the mode to calculate the fp+hc wave solution. 0 = following Bauer et al 15 (previously WAVE_E2DS_EA), 1 = following C Lovis (previously WAVE_NEW)","","","FPMODE_HELP","HELP"
"None","[INTEGER] the mode to calculate the hc wave solution. 0 = Etienne method","","","HCMODE_HELP","HELP"
"None","Displays the short version of the help menu","Affiche la version courte du menu d'aide","","INFO_HELP","HELP"
"None","[BOOLEAN] Whether to run in interactive mode  0 to be in non-interactive mode","","","INTERACTIVE_HELP","HELP"
"None","If set then recipe is a master recipe (e.g. master recipes write to calibration database as master calibrations)","","","IS_MASTER_HELP","HELP"
"None","Rebuilds index files","","","LISTING_DESC","HELP"
"{0} = limit","Lists the night name directories in the input directory if used without a 'directory' argument or lists the files in the given 'directory' (if defined). Only lists up to {0} files/directories","Rpertorie les rpertoires de noms de nuit dans le rpertoire d'entre s'ils sont utiliss sans l'argument 'directory' ou rpertorie les fichiers du 'rpertoire' donn (si dfini). Ne rpertorie que jusqu' {0} fichiers / rpertoires","","LISTING_HELP","HELP"
"None","[STRING] The instrument to rebuild for","","","LISTING_HELP_INSTRUMENT","HELP"
"None","[STRING] The kind of indexs to rebuild (i.e. raw, tmp or reduced)","","","LISTING_HELP_KIND","HELP"
"None","[STRING] The directory/nightname to rebuild for (default is to do all directories)","","","LISTING_HELP_NIGHTNAME","HELP"
"None","Performs a log analysis on the log.fits files generated by recipes","Rpertorie les rpertoires de noms de nuit dans le rpertoire d'entre s'ils sont utiliss sans l'argument 'directory' ou rpertorie les fichiers du 'rpertoire' donn (si dfini). Ne rpertorie que jusqu' {0} fichiers / rpertoires","","LOGSTAT_DESC","HELP"
"None","[STRING] Define a date and time for the most recent log. Must be in the form yyyy-mm-dd HH:MM:SS or yyyy-mm-dd (and the time will be assumed midnight).","","","LOGSTAT_HELP_BEFOREARG","HELP"
"None","[STRING] The instrument to analyze","","","LOGSTAT_HELP_INSTRUMENT","HELP"
"None","[STRING] The kind of logs to analyze","","","LOGSTAT_HELP_KIND","HELP"
"None","[BOOLEAN] Whether to save a master log to the drs path (MASTER_LOG.fits). i.e. for --kind=red the DATA_DIR/reduced/ dir). Note if --recipe is set this will add a suffix to the output name. ","","","LOGSTAT_HELP_MLOG","HELP"
"None","[STRING] The directory/night name to rebuild for (default is to do all directories)","","","LOGSTAT_HELP_NIGHTNAME","HELP"
"None","[STRING] Define a recipe name (the full python name) to filter all results by - this will change the analysis done on the log files","","","LOGSTAT_HELP_RECIPEARG","HELP"
"None","[STRING] Define a date and time for the earliest log. Must be in the form yyyy-mm-dd HH:MM:SS or yyyy-mm-dd (and the time will be assumed midnight).","","","LOGSTAT_HELP_SINCEARG","HELP"
"None","no","non","","NO_TEXT","TEXT"
"None"," options"," les options ","","OPTIONS_TEXT","TEXT"
"None","or","ou","","OR_TEXT","TEXT"
"None","[INTEGER] Plot level. 0 = off, 1 = interactively, 2 = save to file","[BOOLEAN] Niveau de graphique. 0 = dsactiv, 1 = interactivement, 2 = enregistrer dans un fichier","","PLOT_HELP","HELP"
"None"," positional arguments"," arguments de position","","POS_ARG_TEXT","TEXT"
"None","[BOOLEAN] If True skips preprocessed files that are already found","","","PPSKIP_HELP","HELP"
"None","[BOOLEAN] If True previews the changelog before making any changes if False makes changes without preview","","","PREVIEW_HELP","HELP"
"None","[STRING] List of 'night_name's or directories to black list (will not process these directories)","","","PROCESS_BNIGHTNAMES_HELP","HELP"
"None","[INTEGER] Number of cores to use in processing","","","PROCESS_CORES_HELP","HELP"
"None","Process a night or a set of nights or all nights given some options and a run file","","","PROCESS_DESCRIPTION","HELP"
"None","[STRING] The 'filename' to reprocess (default is None for all files)","","","PROCESS_FILENAME_HELP","HELP"
"None","[STRING] The instrument to reprocess","","","PROCESS_INST_HELP","HELP"
"None","[STRING] The 'night_name' or directory to reprocess (default is None for all directories)","","","PROCESS_NIGHTNAME_HELP","HELP"
"None","[STRING] The run file to use in reprocessing","","","PROCESS_RUNFILE_HELP","HELP"
"None","[STRING] A list of object names to process as science targets (if unsets default to the run.in file) must be separated by a comma and surrounded with speech-marks i.e. 'target1,target2,target3'","","","PROCESS_SCI_TARGETS","HELP"
"None","[STRING] A list of object names to process as telluric targets (if unsets default to the run.in file) must be separated by a commas and surrounded with speech-marks i.e. 'target1,target2,target3'","","","PROCESS_TELLU_TARGETS","HELP"
"None","[BOOLEAN] If True does not process any files just prints an output of what recipes would be run","","","PROCESS_TEST_HELP","HELP"
"None","[BOOLEAN] If True activates trigger mode (i.e. will stop processing at the first point we do not find required files). Note one must define --night in trigger mode","","","PROCESS_TRIGGER_HELP","HELP"
"None","Update the object database - only recommended if doing a full reprocess with all data.","","","PROCESS_UPDATE_OBJDB","HELP"
"None","[STRING] List of 'night_name's or directories to white list (will only process these directories)","","","PROCESS_WNIGHTNAMES_HELP","HELP"
"None","[N]o","[N]on","Used for input of no","Q_NO","TEXT"
"None","[Y]es","[O]ui","Used for input of yes","Q_YES","TEXT"
"None","Run recipe without start up text","","","QUIET_HELP","HELP"
"None","Remake a database","","","REMAKE_DESC","HELP"
"None","Re-make the apero documentation","","","REMAKE_DOC_DESCRIPTION","TEXT"
"None","[Bool] If True upload documentation to defined server (for web access)","","","REMAKE_DOC_UPLOADARG_HELP","TEXT"
"None","Compile all rst pages","","","REMAKE_DOC_COMPILE_HELP","HELP"
"None","Compile the docs for file definitions","","","REMAKE_DOC_FILEDEF_HELP","HELP"
"None","Compile the docs for recipe definitions","","","REMAKE_DOC_RECIPEDEF_HELP","HELP"
"None","Compile the docs for recipe sequences","","","REMAKE_DOC_RECIPESEQ_HELP","HELP"
"None","[STRING] The instrument to remake the database for","","","REMAKE_HELP_INSTRUMENT","HELP"
"None","[STRING] The kind of database to remake (i.e. calibration or telluric)","","","REMAKE_HELP_KIND","HELP"
"None","Resets the DRS raw/tmp/db/reduced files based on user input","","","RESET_DESCRIPTION","HELP"
"None","[STRING] The instrument to reset","","","RESET_INST_HELP","HELP"
"None","[BOOLEAN] If True logs the reset else is quite","","","RESET_LOG_HELP","HELP"
"None","[BOOLEAN] If True asks for user to type 'YES' before each reset","","","RESET_WARN_HELP","HELP"
"None","[STRING] Force the default input directory (Normally set by recipe)","","","SET_INPUT_DIR_HELP","HELP"
"None","[BOOLEAN] If True always returns to ipython (or python) at end (via ipdb or pdb)","","","SET_IPYTHON_RETURN_HELP","HELP"
"None","[STRING] Force the default output directory (Normally set by recipe)","","","SET_OUTPUT_DIR_HELP","HELP"
"None","[BOOL] If True this is a run in parellel - disable some features (normally only used in apero_processing.py)","","","SET_PARALLEL_HELP","TEXT"
"None","[STRING] The name of the program to display and use (mostly for logging purpose) log becomes date | {THIS STRING} | Message","","","SET_PROGRAM_HELP","HELP"
"None","[STRING] The recipe kind for this recipe run (normally only used in apero_processing.py)","","","SET_RECIPE_KIND_HELP","TEXT"
"None","[STRING] Set a shortname for a recipe to distinguish it from other runs - this is mainly for use with apero processing but will appear in the log database","","","SET_SHORTNAME_HELP","HELP"
"None","Test recipe - used to test the argument parser of the DRS","Test recipe - utilis pour tester l'analyseur d'arguments du DRS ","","TEST_DESC","HELP"
"None","This is the top level test recipe","","","TEST_DESCRIPTION","HELP"
"None"," test.py [NIGHT_NAME] [DARK_DARK] [FLAT_FLAT] \n test.py 2018-08-05 2295520f_pp.fits dark_dark_P5_003d_pp.fits \n test.py 2018-08-05 2295520f_pp dark_dark_P5_003d_pp.fits \n test.py 2018-08-05 *f_pp *d_pp"," test.py [NIGHT_NAME] [DARK_DARK] [FLAT_FLAT] \n test.py 2018-08-05 2295520f_pp.fits dark_dark_P5_003d_pp.fits \n test.py 2018-08-05 2295520f_pp dark_dark_P5_003d_pp.fits \n test.py 2018-08-05 *f_pp *d_pp","","TEST_EXAMPLE","HELP"
"None","Currently allowed types: -DARK_DARK -FLAT_FLAT","Types actuellement autoriss: -DARK_DARK -FLAT_FLAT ","","TEST_FILELIST1_HELP","HELP"
"None","Currently allowed types: -FP_FP","Types actuellement autoriss: -FP_FP ","","TEST_FILELIST2_HELP","HELP"
"None"," Usage:"," L'utilisation:","","USAGE_TEXT","TEXT"
"None","Runs the DRS validate script (If this script runs the APERO frame work has been installed successfully)","","","VALIDATE_DESCRIPTION","HELP"
"None","","","","VALIDATE_INST_HELP","HELP"
"None","Displays the current version of this recipe.","Affiche la version actuelle de cette recette.","","VERSION_HELP","HELP"
"None","yes","oui","","YES_TEXT","TEXT"
"None","Use a gui to filter files (Currently not ready)","","","GET_GUI_HELP","HELP"
"None","The object names separated by a comma. Use '' for objects with whitespaces i.e 'obj1,obj2,obj 3'","","","GET_OBJNAME_HELP","HELP"
"None","The DPRTYPES to use (multiple dprtypes combined with OR logic) separate dprtypes with commas. Leaving blank will not use DPRTYPE to filter files.","","","GET_DPRTYPES_HELP","HELP"
"None","The drs output file types to use (multiple output type combined  with OR logic) separate output types with commas. Leaving blank will not use output type to filter files.","","","GET_OUTTYPES_HELP","HELP"
"None","The fibres to use (multiple output type combined  with OR logic) separate fibers with commas. Leaving blank will not use fiber to filter files.","","","GET_FIBERS_HELP","HELP"
"None","This is the directory where copied files will be placed. Must be a valid path and must have permission be able to write.","","","GET_OUTPATH_HELP","HELP"
"None","Create symlinks to the file instead of copying","","","GET_SYMLINKS_HELP","HELP"
"None","Does not copy files - prints copy as a debug test. Recommended for first time use.","","","GET_TEST_HELP","HELP"
"None","Raw data directory","","","DATA_RAW_DESC","TEXT"
"None","Temporary data directory","","","DATA_TMP_DESC","TEXT"
"None","Reduced data directory","","","DATA_REDUC_DESC","TEXT"
"None","Post process directory","","","DATA_OUT_DESC","TEXT"
"None","Calibration DB data directory","","","DATA_CALIB_DESC","TEXT"
"None","Telluric DB data directory","","","DATA_TELLU_DESC","TEXT"
"None","Plotting directory","","","DATA_PLOT_DESC","TEXT"
"None","Run directory","","","DATA_RUN_DESC","TEXT"
"None","Assets directory","","","DATA_ASSETS_DESC","TEXT"
"None","Log directory","","","DATA_LOG_DESC","TEXT"
"None","APERO profile name:      

This is the profile name to associate with this installation
Do not include spaces or wildcards (alpha-numeric only)
Note you can create multiple profiles for different instruments
so the name should be logical and unique","","","INSTALL_PROFILE_MSG","TEXT"
"None","User config path:      

This is the path where your user configuration will be saved.     
If it doesn't exist you will be prompted to create it.      
Note please make sure directory is EMPTY.      
Note the ""profile name"" sub-directory will be created under this path.","","","INSTALL_CONFIG_PATH_MSG","TEXT"
"None","Setup paths invidiually? [Y]es or [N]o        

If [Y]es it will allow you to set each path separately      
(i.e. for raw, tmp, reduced, calibDB etc).      
If [N]o you will just set one path and all folders      
(raw, tmp, reduced, calibDB etc) will be created under this      
directory.","","","INSTALL_DATA_PATH_MSG","TEXT"
"None","Clean install? [Y]es or [N]o      

WARNING: If you type [Y]es you will be prompted (later) to reset     
the directories this means any previous data in these directories     
will be removed.  

Note you can always say later to individual cases.  

Note if you have given empty directories you MUST run a clean install to copy the required files to the given directories.","","","INSTALL_CLEAN_MSG","TEXT"
"None","Add an alias in your ~/.bashrc or ~/.bash_profile or ~/.tcshrc or ~/.profile or ~/.zshrc or ~/.zprofile         
and then type ""{NAME}"" every time you wish to run apero.          

i.e. for bash              
alias {NAME}=""source {DRS_UCONFIG}{NAME}.bash.setup""          

i.e. for sh             
alias {NAME} ""source {DRS_UCONFIG}{NAME}.sh.setup""         

i.e. for zsh              
alias {NAME} ""source {DRS_UCONFIG}{NAME}.zsh.setup""","","","INSTALL_ALIAS_MSG","TEXT"
"None","For MySQL you must define some parameters, these will take the form:

    >> mysql -h {HOSTNAME} -n {USERNAME} -p {PASSWORD}

- Note the password will be stored as plain text.

You will also need a database name (within mysql) 
- if it does not exist we will attempt to create it (but may not have permissions to do so)

You may also link the database to a specific apero profile
by default this is the profile name you set up here
however you may want to link this database to another apero profile","","","INSTALL_DB_MSG","TEXT"
"None","updates installation (not clean install) and checks for updates to your current config files","","","INSTALL_UPDATE_HELP","HELP"
"None","skip the python module checks (Not recommended for first time installation)","","","INSTALL_SKIP_HELP","HELP"
"None","activate developer mode (prompts for all config/constant groups and add them to your config/constant files)","","","INSTALL_DEV_HELP","HELP"
"None","use GUI to install (Not yet supported) ","","","INSTALL_GUI_HELP","HELP"
"None","[STRING] The name for this specific installation (Allows the creation of multiple profiles with different settings)","","","INSTALL_NAME_HELP","HELP"
"{0} = package name","Install {0} software for reducing observational data","","","INSTALL_DESCRIPTION","HELP"
"None","[STRING] The installation directory (if not given tries to find the path and if not found prompts the user)","","","INSTALL_ROOT_HELP","HELP"
"None","[STRING] The user configuration path (if not given prompts the user)","","","INSTALL_CONFIG_HELP","HELP"
"None","[STRING] The instrument to install (if not given prompts the user for each available instrument). THIS ARGUMENT IS REQUIRED TO SET --datadir, --rawdir, --tmpdir, --reddir, --calibdir, --telludir, --plotdir, --rundir, --assetdir, --logdir","","","INSTALL_INSTRUMENT_HELP","HELP"
"None","[STRING] The data directory (if given overrides all sub-data directories - i.e. raw/tmp/red/plot) if not given and other paths not given prompts the user for input.","","","INSTALL_DATADIR_HELP","HELP"
"None","[STRING] The raw directory where input files are stored. (if not given and --datadir not given prompts the user to input if user chooses to install each directory separately)","","","INSTALL_RAWDIR_HELP","HELP"
"None","[STRING] The tmp directory where preprocessed files are stored. (if not given and --datadir not given prompts the user to input if user chooses to install each directory separately)","","","INSTALL_TMPDIR_HELP","HELP"
"None","[STRING] The reduced directory where output files are stored. (if not given and --datadir not given prompts the user to input if user chooses to install each directory separately)","","","INSTALL_REDDIR_HELP","HELP"
"None","[STRING] The post process directory where output files are stored. (if not given and --datadir not given prompts the user to input if user chooses to install each directory separately).","","","INSTALL_OUTDIR_HELP","HELP"
"None","[STRING] The calibration database directory where calibrations used in the database files are stored. (if not given and --datadir not given prompts the user to input if user chooses to install each directory separately)","","","INSTALL_CALIBDIR_HELP","HELP"
"None","[STRING] The telluric database directory where telluric database files are stored. (if not given and --datadir not given prompts the user to input if user chooses to install each directory separately)","","","INSTALL_TELLUDIR_HELP","HELP"
"None","The plot directory where plots/summary documents are stored. (if not given and --datadir not given prompts the user to input if user chooses to install each directory separately)","","","INSTALL_PLOTDIR_HELP","HELP"
"None","[STRING] The run directory where run/batch files are stored. (if not given and --datadir not given prompts the user to input if user chooses to install each directory separately)","","","INSTALL_RUNDIR_HELP","HELP"
"None","[STRING] The assets directory where assets files are stored. (if not given and --datadir not given prompts the user to input if user chooses to install each directory separately)","","","INSTALL_ASSETDIR_HELP","HELP"
"None","The log directory where log and lock files are stored. (if not given and --datadir not given prompts the user to input if user chooses to install  each directory separately)","","","INSTALL_LOGDIR_HELP","HELP"
"None","[INT] The plot mode. 0=Summary plots only 1=Plot at end of run 2=Plot at creation (pauses code). If unset user is prompted for choice.","","","INSTALL_PLOTMODE_HELP","HELP"
"None","[BOOLEAN] Whether to run from clean directories -  RECOMMENDED - clears out old files and copies over all required default data files. If unset user is prompted for  choice.","","","INSTALL_CLEAN_HELP","HELP"
"None","[BOOLEAN] Whether to warn about cleaning populated directories - WARNING if set to True will delete all tmp/reduced/calibDB etc. data without prompt","","","INSTALL_CLEAN_NO_WARNING_HELP","HELP"
"None","[INTEGER] Database mode (1: sqlite, 2: mysql). If unset user is prompted for choice.","","","INSTALL_DBMODE_HELP","HELP"
"None","[STRING] MySQL database hostname (Only required if --databasemode=2. If unset user is prompted for choice.","","","INSTALL_DB_HOST_HELP","HELP"
"None","[STRING] MySQL database username (Only required if --databasemode=2. If unset user is prompted for choice.","","","INSTALL_DB_USER_HELP","HELP"
"None","[STRING] MySQL database password (Only required if --databasemode=2. If unset user is prompted for choice.","","","INSTALL_DB_PASS_HELP","HELP"
"None","[STRING] MySQL database name (Only required if --databasemode=2. If unset user is prompted for choice.","","","INSTALL_DB_NAME_HELP","HELP"
"None","[STRING] APERO database table name suffix for the calibration database (default is the APERO profile name). If unset user is prompted for choice.","","","INSTALL_CALIBTABLE_HELP","HELP"
"None","[STRING] APERO database table name suffix for the telluric database (default is the APERO profile name). If unset user is prompted for choice.","","","INSTALL_TELLUTABLE_HELP","HELP"
"None","[STRING] APERO database table name suffix for the index database (default is the APERO profile name).","","","INSTALL_INDEXTABLE_HELP","HELP"
"None","[STRING] APERO database table name suffix for the log database (default is the APERO profile name).","","","INSTALL_LOGTABLE_HELP","HELP"
"None","[STRING] APERO database table name suffix for the object database (default is the APERO profile name).","","","INSTALL_OBJTABLE_HELP","HELP"
"None","[STRING] APERO database table name suffix for the language database (default is the APERO profile name).","","","INSTALL_LANGTABLE_HELP","HELP"
"None","all","","","ALL_TEXT","TEXT"
"None","This is the Default error message","None","None","","ERROR"
"None","This is a test message","Ceci est un message test","Test message","00-000-99999","None"
"None","Dev Error: General Error","","Dev Error","","ERROR"
"{0} = module (recipe) name","Cannot find module '{0}' \n\t Problem with recipe defintion \n\tRecipe name must match recipe python file name and be in PYTHONPATH","","Means that recipe was not found in PYTHONPATH (either PYTHONPATH is wrong or recipe is not in PYTHONPATH)","00-000-00001","ERROR"
"{0} = error type; {1} = error message; {2} = function name","Error {0}: {1} \n\t Function = {2}","","Catch a error pushed out by python","00-000-00002","ERROR"
"{0} = module name; {1} = package name; {2} = function name; {3} = error type; {4} = error message; {5} = traceback","Cannot import module '{0}' from '{1}' \n\t Function = {2} \n\t Error {3}: {4} \n\n Traceback: \n\n {5}","","Means that cannot import module","00-000-00003","ERROR"
"{0} = module name; {1} = path to module; {2} = function name","MainError: Module {0} has not attribute 'main' \n\t Path = {1} \n\t Function = {2}","","Means that module does not have main function","00-000-00004","ERROR"
"{0} = package; {1} = os.name","Error {0} does not support OS (OS = {1})","","Means that setup does not support OS type","00-000-00005","ERROR"
"{0} = setup file name","Error setup file '{0}' does not exist","","Means that setup file does not exist","00-000-00006","ERROR"
"{0} = filename","Error: Cannot chmod 777 on file {0}","","Means we cannot make file executable","00-000-00007","ERROR"
"None","Error: Cannot run update. Must be in an apero environment (i.e. source apero.{SYSTEM}.setup).","","Means we cannot run setup update as we are not in an apero environment","00-000-00008","ERROR"
"None","\tFatal Error: Python 2 is not supported","","Means that user is using python 2","00-000-00009","ERROR"
"{0} = module name, {1} = error type; {2} = error message","Module name '{0}' error {1}: {2}","","Means that module name is bad","00-000-00010","ERROR"
"{0} = drs path; {1} = module name; {2} = suggested module","\tFatal Error: {0} requires module {1} to be installed \n\t i.e. {2}","","Means required module not installed","00-000-00011","ERROR"
"{0} = apero package","Unable to find {0}","","Means that we were unable to find apero","00-000-00012","ERROR"
"{0} = module name","Cannot import {0}","","Means we cannot import module","00-000-00013","ERROR"
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"None","Dev Error: Function Input Error","","Dev Error: Class/Function Input Error","00-001-00000","ERROR"
"{0} = function name","Must define an instrument. \n\t function = {0}","Doit dfinir un instrument. \n\t fonction = {0}","In 'find_recipe' function when instrument is None ? i.e. we must have an instrument to get a recipe","00-001-00001",""
"{0} = DrsInputFile name; {1} = function to use","{0} : Filename is not set. Must set a filename with '{1}' first.","","Means that file was not set i.e. DrsInputFile.function was not used before using this function","00-001-00002","ERROR"
"{0} = DrsInputFile nane; {1} = filename, {2} = function to use","No params set for {0}: filename={1}. Run {2} first.","","Means that params was not set i.e. DrsInputFile.function was not used before using this function","00-001-00003","ERROR"
"{0} = DrsInputFile name; {1} = function to use","{0}: Data is not set. Must read fits using {1} first.","","Means that data is not set i.e. DrsInputFile.function was not used before using this function","00-001-00004","ERROR"
"{0} = function name"," 'keys' must be a valid python list \n\t function = {0}","","Means that 'keys' input to DrsFitsFile.read_header_keys was not a list","00-001-00005","ERROR"
"{0} = function name"," 'defaults' must be same length as 'keys' \n\t function = {0}","","Means that list 'defaults' was not the same length as 'key's (in DrsFitsFile)","00-001-00006","ERROR"
"{0} = function name"," 'defaults' must be a valid python list \n\t function = {0}","","Means that 'defaults' input to DrsFitsFile.read_header_keys was not a list","00-001-00007","ERROR"
"{0} = key name; {1} = function name","Key was set (key = '{0}') but was not found in parameter dictionary. \n\t Either make sure key is in parameter dictionary or define 'keyword', 'value' and 'comment'. \n\t function = {1}","","Means that 'kwstore' or 'key and 'comment' were not defined (one or the other has to be) in add_header_key","00-001-00008","ERROR"
"{0} = function name","Either 'kwstore' or ('key' and 'comment') must be defined \n\t function = {0}","","Means that 'kwstore' or 'key and 'comment' were not defined (one or the other has to be) in add_header_keys","00-001-00009","ERROR"
"{0} = function name"," 'kwstores' must be a list \n\t function = {0}","","Means that 'kwstores' input to DrsFitsFile.add_header_keys was not a list","00-001-00010","ERROR"
"{0} = function name"," 'keys' must be a list (or 'kwstores' must be defined) \n\t function = {0}","","Means that 'keys' must be a list or 'kwstores' must be defined  DrsFitsFile.add_header_keys","00-001-00011","ERROR"
"{0} = function name"," 'comments' must be a list (or 'kwstores' must be defined) \n\t function = {0}","","Means that 'comments' must be a list or 'kwstores' must be defined in DrsFitsFile.add_header_keys","00-001-00012","ERROR"
"{0} = function name"," 'keys' must be the same length as 'comment' \n\t function = {0}","","Means that 'keys' and 'comments' were not the same length in DrsFitsFile.add_header_keys","00-001-00013","ERROR"
"{0} = function name","Either 'kwstore' or ('key' and 'comment') must be defined \n\t function = {0}","","Means that 'kwstore' or 'key and 'comment' were not defined (one or the other has to be) in DrsFitesFile.add_header_key_1d_list","00-001-00014","ERROR"
"{0} = function name","Either 'kwstore' or ('key' and 'comment') must be defined \n\t function = {0}","","Means that 'kwstore' or 'key and 'comment' were not defined (one or the other has to be) in DrsFitesFile.add_header_key_2d_list","00-001-00015","ERROR"
"{0} = current value of kwstore; {1} = function name","There was a problem with the kwstore='{0}' \n\t It must be a list/tuple with the following format \n\t\t [STRING, OBJECT, STRING] \n\t\t where the first element is the HEADER name of the keyword \n\t\t where the second is the default value of the keyword \n\t function = {1}","","Means there was a problem in the definition of the keyword store. (key word store should be a 3 element list = [key, value, comment]","00-001-00016","ERROR"
"{0} = function name","Function {0} requires 'infile' to be set.","","output filenames function requires infile to be set","00-001-00017","ERROR"
"{0} = function name","Function {0} requires 'outfile' to be set.","","output filenames function requires outfile to be set","00-001-00018","ERROR"
"{0} = list of lengths of each qc parameter; {1} = function name","All QC parameters must be the same length \n\t Lengths = {0} \n\t function = {1}","","QC error on number of qc parameters","00-001-00019","ERROR"
"{0} = function name","'infiles' must be a list of DrsFiles \n\t function = {0}","","Means that the 'combine' function was used by 'infiles' was not a list","00-001-00020","ERROR"
"{0} = infiles[0]; {1} = wrong infile number; {2} = wrong infile name; {3} = function name","All 'infiles' must be the same type of DrsFile to combine.\n\t Input file 1: {0}\t Input file {1}: {2}  \n\t function = {3}","","Means that there were 'infiles' that did not have the same name (and thus shouldn't be combined","00-001-00021","ERROR"
"{0} = input math string; {1} = list of math functions; {2} = function name","Math was defined incorrectly for combine function (math={0}). \n\t Available math functions are: {1} \n\t function = {2}","","Means that the incorrect 'math' was set in the call to combine function","00-001-00022","ERROR"
"{0} = xlow or ylow; {1} = xhigh or yhigh; {2} = value of xlow or ylow; {3} = function name","{0}' and '{1}' cannot have the same values (={2}). \n\t function = {3}","","Means that xlow and xhigh (or ylow and yhigh) had the same value in the resize function","00-001-00023","ERROR"
"{0} = xlow value; {1} = xhigh value; {2} = ylow value; {3} = yhigh value; {4} = error type; {5} = error message; {6} = function name","Cannot resize image to ({0}-{1} by {2}-{3}) \n\t Error {4}: {5} \n\t function = {6}","","Means that there was an error using np.take in resize function","00-001-00024","ERROR"
"{0} = xlow value; {1} = xhigh value; {2} = ylow value; {3} = yhigh value; {4} = function name","All pixels were removed in resizing ({0}-{1} by {2}-{3})  \n\t Function = {4}","","Means that resize created a blank image","00-001-00025","ERROR"
"{0} = error type; {1} = error message; {2} = function name","'Image' is not a valid numpy array. \n\t Error {0}: {1} \n\t function = {2}","","Means that there was an error doing np.array(data)","00-001-00026","ERROR"
"{0} = database name; {1} = DrsFitsFile name; {2} = function name","Cannot update {0} database. \n\t Given 'outfile' ({1}) does not have 'hdict' or 'header' defined. \n\t Outfile DrsFitsFile must have 'hdict' or 'header' to get required parameters from updating the database). \n\t function = {2}","","Means that 'hdict' was not found in outfile (when trying to update database)","00-001-00027","ERROR"
"{0} = database name or empty; {1} = 'hdict' or 'header'; {2} = function name","{0}: Cannot get time from {1} (missing). \n\t function = {2}","","Means that 'hdict' (outfile.hdict or outfile.header) did not contain 'timekey'","00-001-00028","ERROR"
