"KEY","KIND","ENG","FR","ES"
"PREPROCESS_UFILES_HELP","HELP","Any raw files are currently allowed. Multiple files inputted are handled separately (one after the other).",,
"RESIZE_HELP","HELP","[BOOLEAN] Whether to resize image",,
"SHAPE_DESC","HELP","Shape finding recipe for SPIRou @ CFHT",,
"SHAPE_EXAMPLE","HELP","cal_SHAPE_spirou.py [NIGHT_NAME] [HCONE_HCONE] [FP_FP] \n cal_SHAPE_spirou.py 2018-08-05 2295680c_pp.fits 2295525a_pp.fits \n cal_SHAPE_spirou.py 2018-08-05 2295680c_pp 2295525a_pp \n cal_SHAPE_spirou.py 2018-08-05 2295680c_pp *a_pp.fits",,
"SHAPE_FPFILES_HELP","HELP","Current allowed types: FP_FP",,
"SHAPE_HCFILES_HELP","HELP","Current allowed types: DARK_DARK",,
"SHAPEFILE_HELP","HELP","[STRING] Define a custom file to use for shape correction. If unset uses closest file from calibDB. Checks for an absolute path and then checks ""directory"".",,
"SLIT_DESC","HELP","Tilt finding recipe for SPIRou @ CFHT \n\n Warning: Deprecated (old) recipe - use cal_SHAPE_spirou.py instead",,
"SLIT_EXAMPLE","HELP","cal_SLIT_spirou.py [NIGHT_NAME] [FP_FP] \n cal_SLIT_spirou.py 2018-08-05 2295525a_pp.fits \n cal_SLIT_spirou.py 2018-08-05 2295525a_pp \n cal_SLIT_spirou.py 2018-08-05 *a_pp.fits",,
"SLIT_FILES_HELP","HELP","Current allowed types: FP_FP",,
"TEST_DESC","HELP","Test recipe - used to test the argument parser of the DRS",,
"TEST_EXAMPLE","HELP","test.py [NIGHT_NAME] [DARK_DARK] [FLAT_FLAT] \n test.py 2018-08-05 2295520f_pp.fits dark_dark_P5_003d_pp.fits \n test.py 2018-08-05 2295520f_pp dark_dark_P5_003d_pp.fits \n test.py 2018-08-05 *f_pp *d_pp",,
"TEST_FILELIST_HELP","HELP","Currently allowed types: -DARK_DARK -FLAT_FLAT",,
"TILTFILE_HELP","HELP","[STRING] Define a custom file to use for tilt  correction. If unset uses closest file from calibDB. Checks for an absolute path and then checks ""directory""",,
"WAVE_E2DS_DESC","HELP","Wavelength solution finding recipe for SPIRou @ CFHT. \n\n Uses HCONE_HCONE and FP_FP files to find solution (more accurate).",,
"WAVE_E2DS_EXAMPLE","HELP",,,
"WAVE_E2DS_FPFILES","HELP","Currently allowed type:\n\t DRS_EOUT = EXT_E2DS_AB (FP_FP) or EXT_E2DS_A (FP_FP)\n\tor EXT_E2DS_B (FP_FP) or EXT_E2DS_C (FP_FP)",,
"WAVE_E2DS_HCFILES","HELP","Currently allowed type:\n\t DRS_EOUT = EXT_E2DS_AB (HCONE_HCONE) or EXT_E2DS_A (HCONE_HCONE)\n\tor EXT_E2DS_B (HCONE_HCONE) or EXT_E2DS_C (HCONE_HCONE)",,
"WAVEFILE_HELP","HELP","[STRING] Define a custom file to use for the wave solution. If unset uses closest file from header or calibDB (depending on setup). Checks for an absolute path and then checks ""directory""",,
"DESCRIPTION_TEXT","TEXT","Description:",,
"EXAMPLES_TEXT","TEXT","Example uses:",,
