"KEY","KIND","COMMENT","ARGUMENTS","ENG","FR","ES"
"LOC_EXAMPLE","HELP",,"None"," cal_loc_RAW_spirou.py [NIGHT_NAME] [DARK_FLAT] \n cal_loc_RAW_spirou.py [NIGHT_NAME] [FLAT_DARK] \n cal_loc_RAW_spirou 2018-08-05 2295510f_pp.fits 2295511f_pp.fits 2295512f_pp.fits \n  cal_loc_RAW_spirou 2018-08-05 2295515f_pp.fits 2295516f_pp.fits 229551"," cal_loc_RAW_spirou.py [NIGHT_NAME] [DARK_FLAT] \n cal_loc_RAW_spirou.py [NIGHT_NAME] [FLAT_DARK] \n cal_loc_RAW_spirou 2018-08-05 2295510f_pp.fits 2295511f_pp.fits 2295512f_pp.fits \n  cal_loc_RAW_spirou 2018-08-05 2295515f_pp.fits 2295516f_pp.fits 229551",
"LOC_FILES_HELP","HELP",,"None","Current allowed types: DARK_FLAT OR FLAT_DARK but not both (exclusive)","Types actuellement autorisés: DARK_FLAT OU FLAT_DARK mais pas les deux (exclusif) ",
"PLOT_HELP","HELP",,"None","[BOOLEAN] Manually turn on/off plot of graphs","[BOOLEAN] Activer / désactiver manuellement le tracé des graphiques ",
"PREPROCESS_DESC","HELP",,"None","Pre-processing recipe for SPIRou @ CFHT","Recette de pré-traitement pour SPIRou @ CFHT ",
"PREPROCESS_EXAMPLE","HELP",,"None"," cal_preprocess_spirou.py [NIGHT_NAME] [FILES] \n cal_preprocess_spirou.p 2018-08-05 *.fits \n cal_preprocess_spirou.p 2018-08-05 dark_dark_P5_003d_pp.fits \n cal_preprocess_spirou.p 2018-08-05 *d_pp"," cal_preprocess_spirou.py [NIGHT_NAME] [FILES] \n cal_preprocess_spirou.p 2018-08-05 * .fits \n cal_preprocess_spirou.p 2018-08-05 dark_dark_P5_003d_pp.fits \n cal_preprocess_spirou.p 2018-08-08 *.",
"PREPROCESS_UFILES_HELP","HELP",,"None","Any raw files are currently allowed. Multiple files inputted are handled separately (one after the other).","Tous les fichiers bruts sont actuellement autorisés. Plusieurs fichiers entrés sont traités séparément (les uns après les autres). ",
"RESIZE_HELP","HELP",,"None","[BOOLEAN] Whether to resize image","[BOOLEAN] S'il faut redimensionner l'image ",
"SHAPE_DESC","HELP",,"None","Shape finding recipe for SPIRou @ CFHT","Recette de recherche de forme pour SPIRou @ CFHT ",
"SHAPE_EXAMPLE","HELP",,"None","cal_SHAPE_spirou.py [NIGHT_NAME] [HCONE_HCONE] [FP_FP] \n cal_SHAPE_spirou.py 2018-08-05 2295680c_pp.fits 2295525a_pp.fits \n cal_SHAPE_spirou.py 2018-08-05 2295680c_pp 2295525a_pp \n cal_SHAPE_spirou.py 2018-08-05 2295680c_pp *a_pp.fits","cal_SHAPE_spirou.py [NIGHT_NAME] [HCONE_HCONE] [FP_FP] \n cal_SHAPE_spirou.py 2018-08-05 2295680c_pp.fits 2295525a_pp.fits \n cal_SHAPE_spirou.py 2018-08-05 2295680c_pp 2295525a_pp \n cal_SHAPE_spirou.py 2018-08-05 2295680c_pp *a_pp.fits",
"SHAPE_FPFILES_HELP","HELP",,"None","Current allowed types: FP_FP","Types actuellement autorisés: FP_FP ",
"SHAPE_HCFILES_HELP","HELP",,"None","Current allowed types: DARK_DARK","Types actuellement autorisés: DARK_DARK ",
"SHAPEFILE_HELP","HELP",,"None","[STRING] Define a custom file to use for shape correction. If unset uses closest file from calibDB. Checks for an absolute path and then checks ""directory"".","[STRING] Définissez un fichier personnalisé à utiliser pour la correction de forme. Si non défini, utilise le fichier le plus proche de calibDB. Recherche un chemin absolu, puis ""répertoire"". ",
"SLIT_DESC","HELP",,"None","Tilt finding recipe for SPIRou @ CFHT \n\n Warning: Deprecated (old) recipe - use cal_SHAPE_spirou.py instead","Recette de recherche d'inclinaison pour SPIRou @ CFHT \n\n Avertissement: recette obsolète (ancienne) - utilisez cal_SHAPE_spirou.py à la place ",
"SLIT_EXAMPLE","HELP",,"None"," cal_SLIT_spirou.py [NIGHT_NAME] [FP_FP] \n cal_SLIT_spirou.py 2018-08-05 2295525a_pp.fits \n cal_SLIT_spirou.py 2018-08-05 2295525a_pp \n cal_SLIT_spirou.py 2018-08-05 *a_pp.fits"," cal_SLIT_spirou.py [NIGHT_NAME] [FP_FP] \n cal_SLIT_spirou.py 2018-08-05 2295525a_pp.fits \n cal_SLIT_spirou.py 2018-08-05 2295525a_pp \n cal_SLIT_spirou.py 2018-08-05 *a_pp.fits",
"SLIT_FILES_HELP","HELP",,"None","Current allowed types: FP_FP","Types actuellement autorisés: FP_FP ",
"TEST_DESC","HELP",,"None","Test recipe - used to test the argument parser of the DRS","Test recipe - utilisé pour tester l'analyseur d'arguments du DRS ",
"TEST_EXAMPLE","HELP",,"None"," test.py [NIGHT_NAME] [DARK_DARK] [FLAT_FLAT] \n test.py 2018-08-05 2295520f_pp.fits dark_dark_P5_003d_pp.fits \n test.py 2018-08-05 2295520f_pp dark_dark_P5_003d_pp.fits \n test.py 2018-08-05 *f_pp *d_pp"," test.py [NIGHT_NAME] [DARK_DARK] [FLAT_FLAT] \n test.py 2018-08-05 2295520f_pp.fits dark_dark_P5_003d_pp.fits \n test.py 2018-08-05 2295520f_pp dark_dark_P5_003d_pp.fits \n test.py 2018-08-05 *f_pp *d_pp",
"TEST_FILELIST1_HELP","HELP",,"None","Currently allowed types: -DARK_DARK -FLAT_FLAT","Types actuellement autorisés: -DARK_DARK -FLAT_FLAT ",
"TEST_FILELIST2_HELP","HELP",,"None","Currently allowed types: -FP_FP","Types actuellement autorisés: -FP_FP ",
"TILTFILE_HELP","HELP",,"None","[STRING] Define a custom file to use for tilt  correction. If unset uses closest file from calibDB. Checks for an absolute path and then checks 'directory'","[STRING] Définissez un fichier personnalisé à utiliser pour la correction d'inclinaison. Si non défini, utilise le fichier le plus proche de calibDB. Vérifie un chemin absolu puis vérifie 'répertoire'",
"VERSION_HELP","HELP",,"None","Displays the current version of this recipe.","Affiche la version actuelle de cette recette.",
"WAVE_E2DS_DESC","HELP",,"None","Wavelength solution finding recipe for SPIRou @ CFHT. \n\n Uses HCONE_HCONE and FP_FP files to find solution (more accurate).","La recette de recherche de solution de longueur d'onde pour SPIRou @ CFHT. \n \n Utilise les fichiers HCONE_HCONE et FP_FP pour trouver la solution (plus précise). ",
"WAVE_E2DS_EXAMPLE","HELP",,"None",,,
"WAVE_E2DS_FPFILES","HELP",,"None","Currently allowed type:\n\t DRS_EOUT = EXT_E2DS_AB (FP_FP) or EXT_E2DS_A (FP_FP)\n\tor EXT_E2DS_B (FP_FP) or EXT_E2DS_C (FP_FP)","Type actuellement autorisé: \n \t DRS_EOUT = EXT_E2DS_AB (FP_FP) ou EXT_E2DS_A (FP_FP) \n\t tor EXT_E2DS_B (FP_FP) ou EXT_E2DS_C (FP_FP) ",
"WAVE_E2DS_HCFILES","HELP",,"None","Currently allowed type:\n\t DRS_EOUT = EXT_E2DS_AB (HCONE_HCONE) or EXT_E2DS_A (HCONE_HCONE)\n\tor EXT_E2DS_B (HCONE_HCONE) or EXT_E2DS_C (HCONE_HCONE)","Type actuellement autorisé: \n \t DRS_EOUT = EXT_E2DS_AB (HCONE_HCONE) ou EXT_E2DS_A (HCONE_HCONE) \n \t or EXT_E2DS_B (HCONE_HCONE) ou EXT_E2DS_C (HCONE_HCONE) ",
"WAVEFILE_HELP","HELP",,"None","[STRING] Define a custom file to use for the wave solution. If unset uses closest file from header or calibDB (depending on setup). Checks for an absolute path and then checks ""directory""","[STRING] Définissez un fichier personnalisé à utiliser pour la solution wave. Si non défini, utilise le fichier le plus proche de l'en-tête ou de calibDB (selon la configuration). Vérifie un chemin absolu puis vérifie ""répertoire"" ",
"DESCRIPTION_TEXT","TEXT",,"None"," Description:"," La description: ",
"EXAMPLES_TEXT","TEXT",,"None"," Example uses:"," Exemple d'utilisation: ",
"OPTIONS_TEXT","TEXT",,"None"," options"," les options ",
"POS_ARG_TEXT","TEXT",,"None"," positional arguments"," arguments de position",
"USAGE_TEXT","TEXT",,"None"," Usage:"," L'utilisation:",
"NAME_TEXT","TEXT",,"None"," NAME:","NOM:",
"VERSION_TEXT","TEXT",,"None"," VERSION:","VERSION:",
"AUTHOR_TEXT","TEXT",,"None"," AUTHORS:","AUTEURS:",
"DATE_TEXT","TEXT",,"None"," LAST UPDATED:","DERNIÈRE MISE À JOUR:",
"RELEASE_TEXT","TEXT",,"None"," RELEASE STATUS:","STATUS DE LIBERATION:",
"DRS_SETUP_TEXT1","TEXT",,"None","DRS Setup:","Configuration de DRS:",
"DRS_SETUP_TEXT2","TEXT",,"{0} = DRS_DATA_WORKING","\t '{0}' is not set, running on-line mode","\t '{0}' n'est pas défini, en mode en ligne",
"DRS_SETUP_TEXT3","TEXT",,"{0} = DRS_DATA_WORKING","\t '{0}' is not set, running in on-line mode","\t '{0}' n'est pas défini, fonctionne en mode en ligne",
"DRS_SETUP_TEXT4","TEXT",,"{0} = DRS_DATA_WORKING","\t '{0}' is set","\t est défini",
"DRS_SETUP_TEXT5","TEXT",,"{0} = DRS_DATA_WORKING; {1} = DRS debug mode","\t '{0}' is set, debug mode level: {1}","\t '{0} est défini, niveau de mode débogage: {1}",
