"KEY","KIND","COMMENT","ARGUMENTS","ENG","FR","ES"
"PPSKIP_HELP","HELP","","None","[BOOLEAN] If True skips preprocessed files that are already found","",""
"PREVIEW_HELP","HELP","","None","[BOOLEAN] If True previews the changelog before making any changes if False makes changes without preview","",""
"PROCESS_DESCRIPTION","HELP","","None","Process a night or a set of nights or all nights given some options and a run file","",""
"PROCESS_FILENAME_HELP","HELP","","None","[STRING] The 'filename' to reprocess (default is None for all files)","",""
"PROCESS_INST_HELP","HELP","","None","[STRING] The instrument to reprocess","",""
"PROCESS_NIGHTNAME_HELP","HELP","","None","[STRING] The 'night_name' or directory to reprocess (default is None for all directories)","",""
"PROCESS_RUNFILE_HELP","HELP","","None","[STRING] The run file to use in reprocessing","",""
"PROCESS_TEST_HELP","HELP","","None","[BOOLEAN] If True does not process any files just prints an output of what recipes would be run","",""
"PROCESS_TRIGGER_HELP","HELP","","None","[BOOLEAN] If True activates trigger mode (i.e. will stop processing at the first point we do not find required files). Note one must define --night in trigger mode","",""
"PROCESS_BNIGHTNAMES_HELP","HELP","","None","[STRING] List of 'night_name's or directories to black list (will not process these directories)","",""
"PROCESS_WNIGHTNAMES_HELP","HELP","","None","[STRING] List of 'night_name's or directories to white list (will only process these directories)","",""
"PROCESS_CORES_HELP","HELP","","None","[INTEGER] Number of cores to use in processing","",""
"REMAKE_DESC","HELP","","None","Remake a database","",""
"REMAKE_HELP_INSTRUMENT","HELP","","None","[STRING] The instrument to remake the database for","",""
"REMAKE_HELP_KIND","HELP","","None","[STRING] The kind of database to remake (i.e. calibration or telluric)","",""
"RESET_DESCRIPTION","HELP","","None","Resets the DRS raw/tmp/db/reduced files based on user input","",""
"RESET_INST_HELP","HELP","","None","[STRING] The instrument to reset","",""
"RESET_LOG_HELP","HELP","","None","[BOOLEAN] If True logs the reset else is quite","",""
"RESET_WARN_HELP","HELP","","None","[BOOLEAN] If True asks for user to type 'YES' before each reset","",""
"SET_IPYTHON_RETURN_HELP","HELP","","None","[BOOLEAN] If True always returns to ipython (or python) at end (via ipdb or pdb)","",""
"SET_PROGRAM_HELP","HELP","","None","[STRING] The name of the program to display and use (mostly for logging purpose) log becomes date | {THIS STRING} | Message","",""
"TEST_DESC","HELP","","None","Test recipe - used to test the argument parser of the DRS","Test recipe - utilisé pour tester l'analyseur d'arguments du DRS ",""
"TEST_DESCRIPTION","HELP","","None","This is the top level test recipe","",""
"TEST_EXAMPLE","HELP","","None"," test.py [NIGHT_NAME] [DARK_DARK] [FLAT_FLAT] \n test.py 2018-08-05 2295520f_pp.fits dark_dark_P5_003d_pp.fits \n test.py 2018-08-05 2295520f_pp dark_dark_P5_003d_pp.fits \n test.py 2018-08-05 *f_pp *d_pp"," test.py [NIGHT_NAME] [DARK_DARK] [FLAT_FLAT] \n test.py 2018-08-05 2295520f_pp.fits dark_dark_P5_003d_pp.fits \n test.py 2018-08-05 2295520f_pp dark_dark_P5_003d_pp.fits \n test.py 2018-08-05 *f_pp *d_pp",""
"TEST_FILELIST1_HELP","HELP","","None","Currently allowed types: -DARK_DARK -FLAT_FLAT","Types actuellement autorisés: -DARK_DARK -FLAT_FLAT ",""
"TEST_FILELIST2_HELP","HELP","","None","Currently allowed types: -FP_FP","Types actuellement autorisés: -FP_FP ",""
"USAGE_TEXT","TEXT","","None"," Usage:"," L'utilisation:",""
"VERSION_HELP","HELP","","None","Displays the current version of this recipe.","Affiche la version actuelle de cette recette.",""
"YES_TEXT","TEXT","","None","yes","oui",""
"QUIET_HELP","HELP","","None","Run recipe without start up text","",""
"EXPLORER_DESCRIPTION","HELP","","None","Opens a GUI browser to help one navigate the raw, working and reduced directories. Displays all files and a select set of header keys","",""
"EXPLORER_INST_HEPL","HELP","","None","[STRING] The instrument to nagivate","",""
"DEPENDENCIES_DESCRIPTION","HELP","","None","Run a dependency check on the DRS (Will display all modules required and some stats)","",""
"VALIDATE_DESCRIPTION","HELP","","None","Runs the DRS validate script (If this script runs the APERO frame work has been installed successfully)","",""
"VALIDATE_INST_HELP","HELP","","None","","",""
"LOGSTAT_DESC","HELP","","None","Performs a log analysis on the log.fits files generated by recipes","Répertorie les répertoires de noms de nuit dans le répertoire d'entrée s'ils sont utilisés sans l'argument 'directory' ou répertorie les fichiers du 'répertoire' donné (si défini). Ne répertorie que jusqu'à {0} fichiers / répertoires",""
"LOGSTAT_HELP_INSTRUMENT","HELP","","None","[STRING] The instrument to analyze","",""
"LOGSTAT_HELP_KIND","HELP","","None","[STRING] The kind of logs to analyze","",""
"LOGSTAT_HELP_NIGHTNAME","HELP","","None","[STRING] The directory/night name to rebuild for (default is to do all directories)","",""
"IS_MASTER_HELP","HELP","","None","If set then recipe is a master recipe (e.g. master recipes write to calibration database as master calibrations)","",""
"SET_INPUT_DIR_HELP","HELP","","None","[STRING] Force the default input directory (Normally set by recipe)","",""
"SET_OUTPUT_DIR_HELP","HELP","","None","[STRING] Force the default output directory (Normally set by recipe)","",""
