#
# This is the recipe control document
#
# Columns must be as follows:
#     Recipe        = full name of recipe (without .py)          
#     Number        = Number of files assiociated with recipe
#                     Note multiple of same number for same recipe works as "or" 
#                     i.e. cal_loc_RAW_spirou can take flat_dark OR dark_flat
#     ocode         = odometer code (will be checked for in pre-processing to set 
#                     unique_string and dprtype) if None not checked in pre-processing
#                     In case of reduced file will check for header key kw_OUTPUT
#     obstype       = OBSTYPE HEADER key (will be checked for in pre-processing
#                     to set unique_string and dprtype) if None not checked for in
#                     pre-processing
#     ccas          = AB fiber type code, if None not checked for in pre-processing
#     cref          = C fiber type code, if None not checked for in pre-processing
#     fiber         = if set identifies the type of fiber to user, i.e. FIBER parmeter
#                     if None fiber is not set
#     dprtype       = the value of DPRTYPE set in the HEADER (after identification 
#                     in pre-processing), if None DPRTYPE not set
#     dstring       = the unique string "suffix" to add in pre-processing, if None
#                     not added in pre-processing, this is the string looked for
#                     when recipe runs
#     kind          = whether a file is a Raw file [RAW] or Reduced file [REDUC] if
#                     Raw file will be required to have the pre-processing suffix
#                     when recipe runs
#     desc          = single word description for the recipe (used in logging when 
#                     recipe runs)
#     order         = ideal order to run the DRS (minus numbers mean do not run)
#     det           = detector type validity (1=both, 2=H2RG only, 4=H4RG only) 
# 
# ===============================================================================================
Recipe, number, ocode, obstype, ccas, cref, fiber, dprtype, dstring, kind, desc, order, det
#cal_FF_RAW_spirou, 1, f, FLAT, pos_pk, pos_wl, C, DARK_FLAT, dark_flat, RAW, FLAT-FIELD, 5, 2
#
# ---- Extraction recipes
#
cal_extract_RAW_spirou, 1, o, None, None, None, None, None, None, RAW, EXTRACT, 8, 1
#
# ---- Wave solution recipes
#
cal_HC_E2DS_spirou, 1, EXT_E2DS_AB, None, None, None, AB, HCONE_HCONE, HCONE_HCONE, REDUC, HC, -6, 1
cal_HC_E2DS_spirou, 1, EXT_E2DS_A, None, None, None, A, HCONE_HCONE, HCONE_HCONE, REDUC, HC, -6, 1
cal_HC_E2DS_spirou, 1, EXT_E2DS_B, None, None, None, B, HCONE_HCONE, HCONE_HCONE, REDUC, HC, -6, 1
cal_HC_E2DS_spirou, 1, EXT_E2DS_C, None, None, None, C, HCONE_HCONE, HCONE_HCONE, REDUC, HC, -6, 1
cal_HC_E2DS_spirou, 1, EXT_E2DS_FF_AB, None, None, None, AB, HCONE_HCONE, HCONE_HCONE, REDUC, HC, -6, 1
cal_HC_E2DS_spirou, 1, EXT_E2DS_FF_A, None, None, None, A, HCONE_HCONE, HCONE_HCONE, REDUC, HC, -6, 1
cal_HC_E2DS_spirou, 1, EXT_E2DS_FF_B, None, None, None, B, HCONE_HCONE, HCONE_HCONE, REDUC, HC, -6, 1
cal_HC_E2DS_spirou, 1, EXT_E2DS_FF_C, None, None, None, C, HCONE_HCONE, HCONE_HCONE, REDUC, HC, -6, 1
cal_WAVE_E2DS_spirou, 1, EXT_E2DS_AB, None, None, None, AB, HCONE_HCONE, HCONE_HCONE, REDUC, WAVE, -7, 1
cal_WAVE_E2DS_spirou, 1, EXT_E2DS_A, None, None, None, A, HCONE_HCONE, HCONE_HCONE, REDUC, WAVE, -7, 1
cal_WAVE_E2DS_spirou, 1, EXT_E2DS_B, None, None, None, B, HCONE_HCONE, HCONE_HCONE, REDUC, WAVE, -7, 1
cal_WAVE_E2DS_spirou, 1, EXT_E2DS_C, None, None, None, C, HCONE_HCONE, HCONE_HCONE, REDUC, WAVE, -7, 1
cal_WAVE_E2DS_spirou, 2, EXT_E2DS_AB, None, None, None, AB, FP_FP, FP_FP, REDUC, WAVE, -7, 1
cal_WAVE_E2DS_spirou, 2, EXT_E2DS_A, None, None, None, A, FP_FP, FP_FP, REDUC, WAVE, -7, 1
cal_WAVE_E2DS_spirou, 2, EXT_E2DS_B, None, None, None, B, FP_FP, FP_FP, REDUC, WAVE, -7, 1
cal_WAVE_E2DS_spirou, 2, EXT_E2DS_C, None, None, None, C, FP_FP, FP_FP, REDUC, WAVE, -7, 1
cal_WAVE_E2DS_spirou, 1, EXT_E2DS_FF_AB, None, None, None, AB, HCONE_HCONE, HCONE_HCONE, REDUC, WAVE, -7, 1
cal_WAVE_E2DS_spirou, 1, EXT_E2DS_FF_A, None, None, None, A, HCONE_HCONE, HCONE_HCONE, REDUC, WAVE, -7, 1
cal_WAVE_E2DS_spirou, 1, EXT_E2DS_FF_B, None, None, None, B, HCONE_HCONE, HCONE_HCONE, REDUC, WAVE, -7, 1
cal_WAVE_E2DS_spirou, 1, EXT_E2DS_FF_C, None, None, None, C, HCONE_HCONE, HCONE_HCONE, REDUC, WAVE, -7, 1
cal_WAVE_E2DS_spirou, 2, EXT_E2DS_FF_AB, None, None, None, AB, FP_FP, FP_FP, REDUC, WAVE, -7, 1
cal_WAVE_E2DS_spirou, 2, EXT_E2DS_FF_A, None, None, None, A, FP_FP, FP_FP, REDUC, WAVE, -7, 1
cal_WAVE_E2DS_spirou, 2, EXT_E2DS_FF_B, None, None, None, B, FP_FP, FP_FP, REDUC, WAVE, -7, 1
cal_WAVE_E2DS_spirou, 2, EXT_E2DS_FF_C, None, None, None, C, FP_FP, FP_FP, REDUC, WAVE, -7, 1
cal_WAVE_NEW_E2DS_spirou, 1, EXT_E2DS_AB, None, None, None, AB, HCONE_HCONE, HCONE_HCONE, REDUC, WAVE, -7, 1
cal_WAVE_NEW_E2DS_spirou, 1, EXT_E2DS_A, None, None, None, A, HCONE_HCONE, HCONE_HCONE, REDUC, WAVE, -7, 1
cal_WAVE_NEW_E2DS_spirou, 1, EXT_E2DS_B, None, None, None, B, HCONE_HCONE, HCONE_HCONE, REDUC, WAVE, -7, 1
cal_WAVE_NEW_E2DS_spirou, 1, EXT_E2DS_C, None, None, None, C, HCONE_HCONE, HCONE_HCONE, REDUC, WAVE, -7, 1
cal_WAVE_NEW_E2DS_spirou, 2, EXT_E2DS_AB, None, None, None, AB, FP_FP, FP_FP, REDUC, WAVE, -7, 1
cal_WAVE_NEW_E2DS_spirou, 2, EXT_E2DS_A, None, None, None, A, FP_FP, FP_FP, REDUC, WAVE, -7, 1
cal_WAVE_NEW_E2DS_spirou, 2, EXT_E2DS_B, None, None, None, B, FP_FP, FP_FP, REDUC, WAVE, -7, 1
cal_WAVE_NEW_E2DS_spirou, 2, EXT_E2DS_C, None, None, None, C, FP_FP, FP_FP, REDUC, WAVE, -7, 1
cal_WAVE_NEW_E2DS_spirou, 1, EXT_E2DS_FF_AB, None, None, None, AB, HCONE_HCONE, HCONE_HCONE, REDUC, WAVE, -7, 1
cal_WAVE_NEW_E2DS_spirou, 1, EXT_E2DS_FF_A, None, None, None, A, HCONE_HCONE, HCONE_HCONE, REDUC, WAVE, -7, 1
cal_WAVE_NEW_E2DS_spirou, 1, EXT_E2DS_FF_B, None, None, None, B, HCONE_HCONE, HCONE_HCONE, REDUC, WAVE, -7, 1
cal_WAVE_NEW_E2DS_spirou, 1, EXT_E2DS_FF_C, None, None, None, C, HCONE_HCONE, HCONE_HCONE, REDUC, WAVE, -7, 1
cal_WAVE_NEW_E2DS_spirou, 2, EXT_E2DS_FF_AB, None, None, None, AB, FP_FP, FP_FP, REDUC, WAVE, -7, 1
cal_WAVE_NEW_E2DS_spirou, 2, EXT_E2DS_FF_A, None, None, None, A, FP_FP, FP_FP, REDUC, WAVE, -7, 1
cal_WAVE_NEW_E2DS_spirou, 2, EXT_E2DS_FF_B, None, None, None, B, FP_FP, FP_FP, REDUC, WAVE, -7, 1
cal_WAVE_NEW_E2DS_spirou, 2, EXT_E2DS_FF_C, None, None, None, C, FP_FP, FP_FP, REDUC, WAVE, -7, 1
#
# ---- Drift recipes
#
cal_DRIFT_E2DS_spirou, 1, EXT_E2DS_AB, None, None, None, AB, FP_FP, FP_FP, REDUC, DRIFT, 9, 1
cal_DRIFT_E2DS_spirou, 1, EXT_E2DS_A, None, None, None, A, FP_FP, FP_FP, REDUC, DRIFT, 9, 1
cal_DRIFT_E2DS_spirou, 1, EXT_E2DS_B, None, None, None, B, FP_FP, FP_FP, REDUC, DRIFT, 9, 1
cal_DRIFT_E2DS_spirou, 1, EXT_E2DS_C, None, None, None, C, FP_FP, FP_FP, REDUC, DRIFT, 9, 1
cal_DRIFT_E2DS_spirou, 1, EXT_E2DS_AB, None, None, None, AB, HCONE_HCONE, HCONE_HCONE, REDUC, DRIFT, 9, 1
cal_DRIFT_E2DS_spirou, 1, EXT_E2DS_A, None, None, None, A, HCONE_HCONE, HCONE_HCONE, REDUC, DRIFT, 9, 1
cal_DRIFT_E2DS_spirou, 1, EXT_E2DS_B, None, None, None, B, HCONE_HCONE, HCONE_HCONE, REDUC, DRIFT, 9, 1
cal_DRIFT_E2DS_spirou, 1, EXT_E2DS_C, None, None, None, C, HCONE_HCONE, HCONE_HCONE, REDUC, DRIFT, 9, 1
cal_DRIFT_E2DS_spirou, 1, EXT_E2DS_AB, None, None, None, AB, HCTWO_HCTWO, HCTWO_HCTWO, REDUC, DRIFT, 9, 1
cal_DRIFT_E2DS_spirou, 1, EXT_E2DS_A, None, None, None, A, HCTWO_HCTWO, HCTWO_HCTWO, REDUC, DRIFT, 9, 1
cal_DRIFT_E2DS_spirou, 1, EXT_E2DS_B, None, None, None, B, HCTWO_HCTWO, HCTWO_HCTWO, REDUC, DRIFT, 9, 1
cal_DRIFT_E2DS_spirou, 1, EXT_E2DS_C, None, None, None, C, HCTWO_HCTWO, HCTWO_HCTWO, REDUC, DRIFT, 9, 1
cal_DRIFT_E2DS_spirou, 1, EXT_E2DS_C, None, None, None, C, OBJ_FP, OBJ_FP, REDUC, DRIFT, 9, 1
cal_DRIFT_E2DS_spirou, 1, EXT_E2DS_FF_AB, None, None, None, AB, FP_FP, FP_FP, REDUC, DRIFT, 9, 1
cal_DRIFT_E2DS_spirou, 1, EXT_E2DS_FF_A, None, None, None, A, FP_FP, FP_FP, REDUC, DRIFT, 9, 1
cal_DRIFT_E2DS_spirou, 1, EXT_E2DS_FF_B, None, None, None, B, FP_FP, FP_FP, REDUC, DRIFT, 9, 1
cal_DRIFT_E2DS_spirou, 1, EXT_E2DS_FF_C, None, None, None, C, FP_FP, FP_FP, REDUC, DRIFT, 9, 1
cal_DRIFT_E2DS_spirou, 1, EXT_E2DS_FF_AB, None, None, None, AB, HCONE_HCONE, HCONE_HCONE, REDUC, DRIFT, 9, 1
cal_DRIFT_E2DS_spirou, 1, EXT_E2DS_FF_A, None, None, None, A, HCONE_HCONE, HCONE_HCONE, REDUC, DRIFT, 9, 1
cal_DRIFT_E2DS_spirou, 1, EXT_E2DS_FF_B, None, None, None, B, HCONE_HCONE, HCONE_HCONE, REDUC, DRIFT, 9, 1
cal_DRIFT_E2DS_spirou, 1, EXT_E2DS_FF_C, None, None, None, C, HCONE_HCONE, HCONE_HCONE, REDUC, DRIFT, 9, 1
cal_DRIFT_E2DS_spirou, 1, EXT_E2DS_FF_AB, None, None, None, AB, HCTWO_HCTWO, HCTWO_HCTWO, REDUC, DRIFT, 9, 1
cal_DRIFT_E2DS_spirou, 1, EXT_E2DS_FF_A, None, None, None, A, HCTWO_HCTWO, HCTWO_HCTWO, REDUC, DRIFT, 9, 1
cal_DRIFT_E2DS_spirou, 1, EXT_E2DS_FF_B, None, None, None, B, HCTWO_HCTWO, HCTWO_HCTWO, REDUC, DRIFT, 9, 1
cal_DRIFT_E2DS_spirou, 1, EXT_E2DS_FF_C, None, None, None, C, HCTWO_HCTWO, HCTWO_HCTWO, REDUC, DRIFT, 9, 1
cal_DRIFT_E2DS_spirou, 1, EXT_E2DS_FF_C, None, None, None, C, OBJ_FP, OBJ_FP, REDUC, DRIFT, 9, 1
cal_DRIFT_E2DS_spirou, 1, EXT_E2DS_FF_C, None, None, None, C, DARK_FP, DARK_FP, REDUC, DRIFT, 9, 1
cal_DRIFTPEAK_E2DS_spirou, 1, EXT_E2DS_AB, None, None, None, AB, FP_FP, FP_FP, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTPEAK_E2DS_spirou, 1, EXT_E2DS_A, None, None, None, A, FP_FP, FP_FP, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTPEAK_E2DS_spirou, 1, EXT_E2DS_B, None, None, None, B, FP_FP, FP_FP, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTPEAK_E2DS_spirou, 1, EXT_E2DS_C, None, None, None, C, FP_FP, FP_FP, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTPEAK_E2DS_spirou, 1, EXT_E2DS_AB, None, None, None, AB, HCONE_HCONE, HCONE_HCONE, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTPEAK_E2DS_spirou, 1, EXT_E2DS_A, None, None, None, A, HCONE_HCONE, HCONE_HCONE, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTPEAK_E2DS_spirou, 1, EXT_E2DS_B, None, None, None, B, HCONE_HCONE, HCONE_HCONE, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTPEAK_E2DS_spirou, 1, EXT_E2DS_C, None, None, None, C, HCONE_HCONE, HCONE_HCONE, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTPEAK_E2DS_spirou, 1, EXT_E2DS_AB, None, None, None, AB, HCTWO_HCTWO, HCTWO_HCTWO, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTPEAK_E2DS_spirou, 1, EXT_E2DS_A, None, None, None, A, HCTWO_HCTWO, HCTWO_HCTWO, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTPEAK_E2DS_spirou, 1, EXT_E2DS_B, None, None, None, B, HCTWO_HCTWO, HCTWO_HCTWO, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTPEAK_E2DS_spirou, 1, EXT_E2DS_C, None, None, None, C, HCTWO_HCTWO, HCTWO_HCTWO, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTPEAK_E2DS_spirou, 1, EXT_E2DS_C, None, None, None, C, OBJ_FP, OBJ_FP, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTPEAK_E2DS_spirou, 1, EXT_E2DS_FF_AB, None, None, None, AB, FP_FP, FP_FP, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTPEAK_E2DS_spirou, 1, EXT_E2DS_FF_A, None, None, None, A, FP_FP, FP_FP, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTPEAK_E2DS_spirou, 1, EXT_E2DS_FF_B, None, None, None, B, FP_FP, FP_FP, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTPEAK_E2DS_spirou, 1, EXT_E2DS_FF_C, None, None, None, C, FP_FP, FP_FP, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTPEAK_E2DS_spirou, 1, EXT_E2DS_FF_AB, None, None, None, AB, HCONE_HCONE, HCONE_HCONE, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTPEAK_E2DS_spirou, 1, EXT_E2DS_FF_A, None, None, None, A, HCONE_HCONE, HCONE_HCONE, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTPEAK_E2DS_spirou, 1, EXT_E2DS_FF_B, None, None, None, B, HCONE_HCONE, HCONE_HCONE, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTPEAK_E2DS_spirou, 1, EXT_E2DS_FF_C, None, None, None, C, HCONE_HCONE, HCONE_HCONE, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTPEAK_E2DS_spirou, 1, EXT_E2DS_FF_AB, None, None, None, AB, HCTWO_HCTWO, HCTWO_HCTWO, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTPEAK_E2DS_spirou, 1, EXT_E2DS_FF_A, None, None, None, A, HCTWO_HCTWO, HCTWO_HCTWO, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTPEAK_E2DS_spirou, 1, EXT_E2DS_FF_B, None, None, None, B, HCTWO_HCTWO, HCTWO_HCTWO, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTPEAK_E2DS_spirou, 1, EXT_E2DS_FF_C, None, None, None, C, HCTWO_HCTWO, HCTWO_HCTWO, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTPEAK_E2DS_spirou, 1, EXT_E2DS_FF_C, None, None, None, C, OBJ_FP, OBJ_FP, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTPEAK_E2DS_spirou, 1, EXT_E2DS_FF_C, None, None, None, C, DARK_FP, DARK_FP, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTCCF_E2DS_spirou, 1, EXT_E2DS_AB, None, None, None, AB, FP_FP, FP_FP, REDUC, DRIFT, 9, 1
cal_DRIFTCCF_E2DS_spirou, 1, EXT_E2DS_A, None, None, None, A, FP_FP, FP_FP, REDUC, DRIFT, 9, 1
cal_DRIFTCCF_E2DS_spirou, 1, EXT_E2DS_B, None, None, None, B, FP_FP, FP_FP, REDUC, DRIFT, 9, 1
cal_DRIFTCCF_E2DS_spirou, 1, EXT_E2DS_C, None, None, None, C, FP_FP, FP_FP, REDUC, DRIFT, 9, 1
cal_DRIFTCCF_E2DS_spirou, 1, EXT_E2DS_C, None, None, None, C, OBJ_FP, OBJ_FP, REDUC, DRIFT, 9, 1
cal_DRIFTCCF_E2DS_spirou, 1, EXT_E2DS_FF_AB, None, None, None, AB, FP_FP, FP_FP, REDUC, DRIFT, 9, 1
cal_DRIFTCCF_E2DS_spirou, 1, EXT_E2DS_FF_A, None, None, None, A, FP_FP, FP_FP, REDUC, DRIFT, 9, 1
cal_DRIFTCCF_E2DS_spirou, 1, EXT_E2DS_FF_B, None, None, None, B, FP_FP, FP_FP, REDUC, DRIFT, 9, 1
cal_DRIFTCCF_E2DS_spirou, 1, EXT_E2DS_FF_C, None, None, None, C, FP_FP, FP_FP, REDUC, DRIFT, 9, 1
cal_DRIFTCCF_E2DS_spirou, 1, EXT_E2DS_FF_C, None, None, None, C, OBJ_FP, OBJ_FP, REDUC, DRIFT, 9, 1
cal_DRIFTCCF_E2DS_spirou, 1, EXT_E2DS_FF_C, None, None, None, C, DARK_FP, DARK_FP, REDUC, DRIFT, 9, 1
cal_DRIFTCCF_E2DS_spirou, 1, EXT_E2DS_AB, None, None, None, AB, HCONE_HCONE, HCONE_HCONE, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTCCF_E2DS_spirou, 1, EXT_E2DS_A, None, None, None, A, HCONE_HCONE, HCONE_HCONE, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTCCF_E2DS_spirou, 1, EXT_E2DS_B, None, None, None, B, HCONE_HCONE, HCONE_HCONE, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTCCF_E2DS_spirou, 1, EXT_E2DS_C, None, None, None, C, HCONE_HCONE, HCONE_HCONE, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTCCF_E2DS_spirou, 1, EXT_E2DS_FF_AB, None, None, None, AB, HCONE_HCONE, HCONE_HCONE, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTCCF_E2DS_spirou, 1, EXT_E2DS_FF_A, None, None, None, A, HCONE_HCONE, HCONE_HCONE, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTCCF_E2DS_spirou, 1, EXT_E2DS_FF_B, None, None, None, B, HCONE_HCONE, HCONE_HCONE, REDUC, DRIFTPEAK, 10, 1
cal_DRIFTCCF_E2DS_spirou, 1, EXT_E2DS_FF_C, None, None, None, C, HCONE_HCONE, HCONE_HCONE, REDUC, DRIFTPEAK, 10, 1

#
# ---- CCF recipes
#
cal_CCF_E2DS_spirou, 1, EXT_E2DS_AB, None, None, None, AB, None, None, REDUC, CCF, 11, 1
cal_CCF_E2DS_spirou, 1, EXT_E2DS_A, None, None, None, A, None, None, REDUC, CCF, 11, 1
cal_CCF_E2DS_spirou, 1, EXT_E2DS_B, None, None, None, B, None, None, REDUC, CCF, 11, 1
cal_CCF_E2DS_spirou, 1, EXT_E2DS_C, None, None, None, C, None, None, REDUC, CCF, 11, 1
cal_CCF_E2DS_spirou, 1, EXT_E2DS_FF_AB, None, None, None, AB, None, None, REDUC, CCF, 11, 1
cal_CCF_E2DS_spirou, 1, EXT_E2DS_FF_A, None, None, None, A, None, None, REDUC, CCF, 11, 1
cal_CCF_E2DS_spirou, 1, EXT_E2DS_FF_B, None, None, None, B, None, None, REDUC, CCF, 11, 1
cal_CCF_E2DS_spirou, 1, EXT_E2DS_FF_C, None, None, None, C, None, None, REDUC, CCF, 11, 1
cal_CCF_E2DS_spirou, 1, TELLU_CORRECTED_AB, None, None, None, AB, None, None, REDUC, CCF, 11, 1
cal_CCF_E2DS_spirou, 1, TELLU_CORRECTED_A, None, None, None, A, None, None, REDUC, CCF, 11, 1
cal_CCF_E2DS_spirou, 1, TELLU_CORRECTED_B, None, None, None, B, None, None, REDUC, CCF, 11, 1
cal_CCF_E2DS_spirou, 1, TELLU_CORRECTED_C, None, None, None, C, None, None, REDUC, CCF, 11, 1
cal_CCF_E2DS_spirou, 1, POL_DEG, None, None, None, AB, None, None, REDUC, CCF, 11, 1
cal_CCF_E2DS_spirou, 1, POL_STOKES_I, None, None, None, AB, None, None, REDUC, CCF, 11, 1
cal_CCF_E2DS_spirou, 1, POL_LSD, None, None, None, AB, None, None, REDUC, CCF, 11, 1

cal_CCF_E2DS_FP_spirou, 1, EXT_E2DS_AB, None, None, None, AB, OBJ_FP, OBJ_FP, REDUC, CCF, 11, 1
cal_CCF_E2DS_FP_spirou, 1, EXT_E2DS_A, None, None, None, A, OBJ_FP, OBJ_FP, REDUC, CCF, 11, 1
cal_CCF_E2DS_FP_spirou, 1, EXT_E2DS_B, None, None, None, B, OBJ_FP, OBJ_FP, REDUC, CCF, 11, 1
cal_CCF_E2DS_FP_spirou, 1, EXT_E2DS_FF_AB, None, None, None, AB, OBJ_FP, OBJ_FP, REDUC, CCF, 11, 1
cal_CCF_E2DS_FP_spirou, 1, EXT_E2DS_FF_A, None, None, None, A, OBJ_FP, OBJ_FP, REDUC, CCF, 11, 1
cal_CCF_E2DS_FP_spirou, 1, EXT_E2DS_FF_B, None, None, None, B, OBJ_FP, OBJ_FP, REDUC, CCF, 11, 1
cal_CCF_E2DS_FP_spirou, 1, TELLU_CORRECTED_AB, None, None, None, AB, OBJ_FP, OBJ_FP, REDUC, CCF, 11, 1
cal_CCF_E2DS_FP_spirou, 1, TELLU_CORRECTED_A, None, None, None, A, OBJ_FP, OBJ_FP, REDUC, CCF, 11, 1
cal_CCF_E2DS_FP_spirou, 1, TELLU_CORRECTED_B, None, None, None, B, OBJ_FP, OBJ_FP, REDUC, CCF, 11, 1
cal_CCF_E2DS_FP_spirou, 1, POL_DEG, None, None, None, AB, OBJ_FP, OBJ_FP, REDUC, CCF, 11, 1
cal_CCF_E2DS_FP_spirou, 1, POL_STOKES_I, None, None, None, AB, OBJ_FP, OBJ_FP, REDUC, CCF, 11, 1
cal_CCF_E2DS_FP_spirou, 1, POL_LSD, None, None, None, AB, OBJ_FP, OBJ_FP, REDUC, CCF, 11, 1
#
# ---- Telluric recipes
#
obj_fit_tellu, 1, EXT_E2DS_AB, None, None, None, AB, None, None, REDUC, FITTELLU, -6, 1
obj_fit_tellu, 1, EXT_E2DS_A, None, None, None, A, None, None, REDUC, FITTELLU, -6, 1
obj_fit_tellu, 1, EXT_E2DS_B, None, None, None, B, None, None, REDUC, FITTELLU, -6, 1
# obj_fit_tellu, 1, EXT_E2DS_C, None, None, None, C, None, None, REDUC, FITTELLU, -6, 1
obj_fit_tellu, 1, EXT_E2DS_FF_AB, None, None, None, AB, None, None, REDUC, FITTELLU, -6, 1
obj_fit_tellu, 1, EXT_E2DS_FF_A, None, None, None, A, None, None, REDUC, FITTELLU, -6, 1
obj_fit_tellu, 1, EXT_E2DS_FF_B, None, None, None, B, None, None, REDUC, FITTELLU, -6, 1
# obj_fit_tellu, 1, EXT_E2DS_FF_C, None, None, None, C, None, None, REDUC, FITTELLU, -6, 1
obj_fit_tellu, 1, POL_STOKES_I, None, None, None, AB, None, None, REDUC, FITTELLU, -6, 1
obj_mk_tellu, 1, EXT_E2DS_AB, None, None, None, AB, None, None, REDUC, MKTELLU, -6, 1
obj_mk_tellu, 1, EXT_E2DS_A, None, None, None, A, None, None, REDUC, MKTELLU, -6, 1
obj_mk_tellu, 1, EXT_E2DS_B, None, None, None, B, None, None, REDUC, MKTELLU, -6, 1
obj_mk_tellu, 1, EXT_E2DS_C, None, None, None, C, None, None, REDUC, MKTELLU, -6, 1
obj_mk_tellu, 1, EXT_E2DS_FF_AB, None, None, None, AB, None, None, REDUC, MKTELLU, -6, 1
obj_mk_tellu, 1, EXT_E2DS_FF_A, None, None, None, A, None, None, REDUC, MKTELLU, -6, 1
obj_mk_tellu, 1, EXT_E2DS_FF_B, None, None, None, B, None, None, REDUC, MKTELLU, -6, 1
